,B_interactions_count,B_unique_id,A_interactions_count,A_unique_id,A_follower_count,A_following_count,A_listed_count,A_mentions_received,A_retweets_received,A_mentions_sent,A_retweets_sent,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_follower_count,B_following_count,B_listed_count,B_mentions_received,B_retweets_received,B_mentions_sent,B_retweets_sent,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3,Choice,A_community,B_community,A_L_community,A_M_community,A_S_community,A_XS_community,B_L_community,B_M_community,B_S_community,B_XS_community
20,1,18,5,344,352126,499,4428,476.925046137,201.19920615,6.7102808036,0.10050335853499999,7.97454850173,1881,54.199580932399996,4991.58983761,35420121,136440,243073,33169.806819,6627.82220971,0.10050335853499999,0.10050335853499999,0.10050335853499999,54819,17.6760845853,2006.1760494000002,0,7,7,0,1,0,0,0,1,0,0
28,39,23,39,245,57840,27137,5245,271.759860328,35.9558041591,13.0793877781,0.10050335853499999,12.6428812457,890,294.170731707,8733.9767184,158467,154157,1590,299.60787906,80.1902863889,0.10050335853499999,0.10050335853499999,0.10050335853499999,791,122.25280199299999,11514.8119552,1,1,1,0,1,0,0,0,1,0,0
109,4,90,6,477,1424824,338,6096,462.507298936,135.30412199399998,0.334765666801,0.334765666801,0.334765666801,1732,43.962307253,5992.77898344,6061284,24,41017,410.052992763,36.803758622800004,0.10050335853499999,0.10050335853499999,0.10050335853499999,1716,21.0346620451,1734.6129405000001,0,7,7,0,1,0,0,0,1,0,0
149,10,116,39,281,725,645,44,4.10829871077,0.709693061502,1.56890938185,0.834706370192,1.83266497678,15,128.8,2381.46666667,100,201,7,0.35184014387100004,0.10050335853499999,0.35184014387100004,0.10050335853499999,0.35184014387100004,1,29.0,469.0,1,1,1,0,1,0,0,0,1,0,0
156,4,121,6,383,6375552,813,13024,12873.6009322,4515.51517633,1.03520996852,0.10050335853499999,2.03903709968,28917,9.79993143641,1988.04748029,10422587,147,98965,1892.91438777,678.010953505,0.8424973786229999,0.10050335853499999,0.8424973786229999,7979,37.135768945900004,2639.14082942,0,7,7,0,1,0,0,0,1,0,0
213,28,67,39,23,158467,154157,1590,299.60787906,80.1902863889,0.10050335853499999,0.10050335853499999,0.10050335853499999,791,122.25280199299999,11514.8119552,48777,858,1236,247.238745401,74.1034922474,3.0316956547900005,1.81674611367,21.1756960799,997,32.902777777800004,1871.07142857,0,1,1,0,1,0,0,0,1,0,0
249,10,165,1,805,414,1134,16,0.765638336868,0.10050335853499999,0.349326776018,0.10050335853499999,0.349326776018,3,670.0,22625.3333333,1257,318,67,12.127098736199999,3.97380327177,1.7961257947999998,0.10050335853499999,1.7961257947999998,52,591.811320755,8903.66037736,1,1,1,0,1,0,0,0,1,0,0
272,7,175,7,325,1268,933,48,3.31007533733,0.9337591884469999,1.054823201,0.10050335853499999,1.8068225365400001,14,181.133333333,2256.4,591,401,16,3.05168166273,1.26297246306,1.13206858891,0.10050335853499999,1.11987376563,12,107.166666667,14013.416666699999,0,1,1,0,1,0,0,0,1,0,0
293,5,182,4,507,3317868,58,58670,4181.19036583,2200.00702641,18.3799704838,13.867152253699999,31.7927874243,13291,24.4464963884,1476.28095912,2662235,824,74528,4477.89835361,1748.8717325999999,16.424706171700002,0.10050335853499999,16.671041355,14301,57.81867108260001,2274.40184917,0,7,7,0,1,0,0,0,1,0,0
314,34,53,34,0,34463,29808,1689,15.4304976173,3.9840288048900003,8.204331198450001,0.332423043719,6.988814956789999,66,75.5303030303,1916.89393939,3638,3341,85,2.7935772010699997,1.40270262958,2.5940892676900003,0.5981501935010001,3.80214341589,11,9.416666666669999,489.08333333300004,1,1,1,0,1,0,0,0,1,0,0
