,B_interactions_count,B_unique_id,A_interactions_count,A_unique_id,A_follower_count,A_following_count,A_listed_count,A_mentions_received,A_retweets_received,A_mentions_sent,A_retweets_sent,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_follower_count,B_following_count,B_listed_count,B_mentions_received,B_retweets_received,B_mentions_sent,B_retweets_sent,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3,Choice,A_community,B_community,A_L_community,A_M_community,A_S_community,A_XS_community,B_L_community,B_M_community,B_S_community,B_XS_community
2,3,2,1,788,7310,1215,101,25.5036444818,9.55634744251,5.36151928351,0.591205606947,3.58971842047,95,68.9278350515,5999.89690722,3622,482,206,0.734695580988,0.354378899279,0.603202316762,0.10050335853499999,0.603202316762,3,10.3333333333,277.333333333,0,3,3,0,0,1,0,0,0,1,0
14,2,14,1,789,2088,419,148,4.25083325871,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,18,9.0,254.722222222,4511,4962,163,4.73717644628,1.23093918209,1.41410172158,0.36479296425999996,2.45605513484,17,20.444444444400002,937.388888889,1,6,6,0,0,1,0,0,0,1,0
95,1,80,2,365,221,285,3,1.98866896125,0.290192078012,0.33713195274400004,0.10050335853499999,0.33713195274400004,9,0.777777777778,145.222222222,429,338,9,2.44001223538,0.310247364657,1.0650082206,0.10050335853499999,2.04320748801,7,20.0,3907.0,0,13,13,0,0,1,0,0,0,1,0
171,1,131,5,522,99193,69,3950,71.8970682908,31.5701688974,0.339522140564,0.10050335853499999,0.339522140564,324,143.947852761,4795.83435583,18322,6564,1754,33.1368981205,11.036756343399999,7.079134558260001,2.8078891430699997,5.04619445293,126,118.64285714299999,2065.11904762,1,20,20,0,0,1,0,0,0,1,0
196,2,147,1,802,1487,802,91,0.9660879191220001,0.565103701506,1.14185726301,0.621180310774,1.14185726301,4,42.0,755.0,10602,790,334,34.0676868815,12.456840663800001,6.36727423666,0.8249002492120001,4.45773934379,128,152.085271318,6724.11627907,1,22,22,0,0,1,0,0,0,1,0
218,3,155,1,803,306,433,10,2.56916638554,0.8257455212010001,6.70141849839,3.92484463956,5.41917858255,10,68.5,1451.4,580,590,26,0.5981501935010001,0.10050335853499999,0.839583306662,0.10050335853499999,1.06165079165,2,0.5,97.5,0,23,23,0,0,1,0,0,0,1,0
295,3,183,3,807,364,62,10,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,0,0.0,0.0,70527,4587,2835,170.192314655,22.9344276451,0.810460607776,0.339522140564,0.8278817658930001,570,46.864347826099994,1976.09043478,1,26,26,0,0,1,0,0,0,1,0
342,2,201,1,809,6926,1281,446,4.16988901141,0.49964483547399996,0.354378899279,0.10050335853499999,0.600714082587,18,14.777777777799999,499.555555556,7299,235,558,1.4211942135799998,0.321056671521,0.10050335853499999,0.10050335853499999,0.359533601106,6,34.0,350.66666666699996,1,28,28,0,0,1,0,0,0,1,0
367,3,209,1,810,468,370,26,0.10050335853499999,0.10050335853499999,0.812803230859,0.334765666801,0.812803230859,0,0.0,0.0,10266,4744,730,28.1166948073,4.01861424478,6.3604999884,0.616129749596,5.874764173709999,101,178.87128712900002,2959.03960396,0,29,29,0,0,1,0,0,0,1,0
374,3,212,1,811,754,51,51,2.75719420191,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,12,61.5384615385,1295.23076923,413,438,24,0.725540496778,0.10050335853499999,1.33284500214,0.10050335853499999,1.5647646873199998,2,685.5,37626.5,0,30,30,0,0,1,0,0,0,1,0
406,2,221,1,816,951,1096,95,1.7547384111900002,1.00716890159,0.10050335853499999,0.10050335853499999,0.875239281719,7,54.571428571400006,815.285714286,1294,1254,120,0.9298789548090001,0.10050335853499999,0.880368339552,0.626492798808,0.880368339552,4,159.5,2265.5,0,34,34,0,0,1,0,0,0,1,0
412,2,224,2,818,6118,4005,460,18.0701791025,5.49605623644,7.676639046110001,0.10050335853499999,4.9955183554,61,130.6875,2556.28125,2965,1627,85,2.1296834061000003,0.532967063232,1.33511145999,0.5981501935010001,1.32772115567,9,99.6666666667,2177.66666667,1,36,36,0,0,1,0,0,0,1,0
450,3,237,1,820,79727,555,3913,85.0553351926,40.944029799,2.83608245894,0.10050335853499999,2.8089552019300004,371,201.39627659599998,4886.99734043,2964,1074,227,2.18318230808,0.766326554087,1.5425419963100002,0.10050335853499999,1.31062231113,7,119.714285714,39101.4285714,1,38,38,0,0,1,0,0,0,1,0
466,1,240,2,423,3671,383,170,0.510745390998,0.321056671521,0.10050335853499999,0.10050335853499999,0.10050335853499999,2,77.5,1608.5,74798,433,3145,258.15737974,78.7117164804,8.86965435152,0.10050335853499999,10.126515234600001,987,155.696572581,6433.88205645,0,39,39,0,0,1,0,0,0,1,0
529,2,253,3,386,34860,219,2356,87.5141898241,31.036517947600004,4.43364988023,1.10959252973,3.14519256827,342,137.135446686,6896.96829971,1017,638,33,8.81552911378,1.0302822793100002,5.34341308823,0.840131092681,4.1033937063999995,32,96.9090909091,1714.78787879,1,40,40,0,0,1,0,0,0,1,0
535,1,254,2,700,1034,342,60,9.68374293461,0.463475994908,5.383795332409999,0.8726748823170001,6.877771599780001,31,150.709677419,10209.7419355,146,279,5,0.310247364657,0.310247364657,0.10050335853499999,0.10050335853499999,0.10050335853499999,1,16.0,372.0,1,41,41,0,0,1,0,0,0,1,0
624,2,278,1,830,28227,22341,2678,137.21323073,13.5179392142,12.8470030307,0.10050335853499999,11.888637286199998,405,357.225728155,7847.67718447,3563,663,120,10.5331956927,1.1260560225799998,2.56798452147,0.341936471695,2.5607412842099997,40,127.45,2560.625,0,50,50,0,0,1,0,0,0,1,0
625,2,279,1,831,1230,486,39,1.04173698987,0.436777781095,0.10050335853499999,0.10050335853499999,0.334765666801,4,70.6,1358.8,8380,1007,250,17.0292772328,5.55851454686,1.06140714891,0.819974035753,4.45338701518,65,13.8615384615,4512.8,1,51,51,0,0,1,0,0,0,1,0
660,3,183,4,298,662056,57,9224,3526.91296862,77.158070311,0.84979013175,0.10050335853499999,1.62965511277,13774,49.35638566380001,2269.35977501,70527,4587,2835,170.192314655,22.9344276451,0.810460607776,0.339522140564,0.8278817658930001,570,46.864347826099994,1976.09043478,1,26,26,0,0,1,0,0,0,1,0
667,1,285,2,752,2589,399,143,1.91230559694,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,9,315.666666667,6529.55555556,837,195,75,0.918369851859,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,4,55.5,681.25,1,53,53,0,0,1,0,0,0,1,0
703,2,289,1,834,60654,3180,2745,215.962203549,116.782029281,10.2240879336,0.593571892889,9.80944024824,921,149.960300429,5221.61587983,2915,1981,144,1.1142275794499998,0.472154969211,1.82358079307,0.10050335853499999,0.8374437243639999,4,236.0,6926.0,1,55,55,0,0,1,0,0,0,1,0
716,2,294,1,838,19876,484,366,17.3072754078,2.8313504359900006,0.10050335853499999,0.10050335853499999,0.10050335853499999,66,6.5,343.102941176,264,180,9,17.078275655,0.277305640849,10.1928502869,0.367462556237,9.16957644526,38,305.538461538,4277.71794872,1,41,41,0,0,1,0,0,0,1,0
733,4,298,2,443,1279,535,28,0.35184014387100004,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,1,1.0,434.0,662056,57,9224,3526.91296862,77.158070311,0.84979013175,0.10050335853499999,1.62965511277,13774,49.35638566380001,2269.35977501,0,26,26,0,0,1,0,0,0,1,0
739,1,300,3,385,17766,803,1802,4.512220649980001,1.8298949123900001,0.5737605469520001,0.33713195274400004,0.8474474336329999,20,157.1,3116.05,10793,592,357,0.817001252935,0.10050335853499999,1.0499418225100001,0.10050335853499999,0.818022137322,3,17.6666666667,6979.33333333,0,60,60,0,0,1,0,0,0,1,0
754,1,304,2,551,20196,413,927,119.066755178,29.6742944023,34.1811928079,5.28592968138,15.333251662999999,404,206.07389162599998,7093.33251232,305,295,8,0.359533601106,0.10050335853499999,0.608254440023,0.10050335853499999,0.354378899279,1,282.0,8809.0,1,61,61,0,0,1,0,0,0,1,0
756,2,305,2,841,1123,1106,44,0.304017757931,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,1,30.0,1402.0,352,187,12,0.297973176755,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,1,0.0,0.0,0,62,62,0,0,1,0,0,0,1,0
759,1,306,3,594,10903,965,309,33.6440171925,12.211772686500002,2.08939990825,0.10050335853499999,1.8121215676,137,147.579710145,3853.91304348,2496,847,145,3.71202167084,1.2753978952299998,5.06300222742,1.61259979636,4.3550433462400004,14,112.0,2412.35714286,1,60,60,0,0,1,0,0,0,1,0
774,2,309,1,843,2203,460,160,3.8483128758,0.7110688273710001,3.58500463975,2.57371941191,3.28840971348,18,62.5,881.4444444439999,6186,960,367,6.15207078737,1.08985480411,0.10050335853499999,0.10050335853499999,0.10050335853499999,22,111.434782609,3151.60869565,0,64,64,0,0,1,0,0,0,1,0
792,2,313,1,846,286,185,14,0.341936471695,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,1,17.0,291.0,1937,1498,60,4.37045039626,0.341936471695,1.7450720882799995,0.334765666801,0.57139426101,17,38.3529411765,1007.41176471,0,67,67,0,0,1,0,0,0,1,0
833,3,319,1,849,5913,349,81,0.779444555514,0.5819747372940001,0.588641207545,0.10050335853499999,0.588641207545,3,31.6666666667,1034.0,267738,274,9295,81.0656099345,43.1489374234,0.10050335853499999,0.10050335853499999,0.10050335853499999,336,209.30612244900001,6258.04373178,0,69,69,0,0,1,0,0,0,1,0
855,4,323,1,852,566,366,39,1.4372126070500002,0.768846731219,0.10050335853499999,0.10050335853499999,0.10050335853499999,6,363.16666666699996,6276.0,154082,2615,8781,56.6499801361,20.7487620268,1.3139769330700002,0.33713195274400004,1.31161064713,252,272.992063492,14550.9920635,1,26,26,0,0,1,0,0,0,1,0
899,2,329,1,854,839,541,28,1.26770477024,0.10050335853499999,1.1033371320299998,0.10050335853499999,0.852000346691,5,13.4,294.8,15539,1994,1058,52.3659298229,15.034723212100001,12.079533050899999,2.60634402209,11.3062037543,193,127.850515464,2258.12371134,0,73,73,0,0,1,0,0,0,1,0
945,2,337,1,859,67,142,2,0.10050335853499999,0.10050335853499999,0.359533601106,0.359533601106,0.359533601106,0,0.0,0.0,2104,260,126,34.4283902727,4.45762220587,15.0611410766,0.5883455580470001,12.476308035899999,107,86.1111111111,1633.07407407,0,78,78,0,0,1,0,0,0,1,0
975,3,341,2,693,103133,926,5743,146.580123327,58.6582341425,4.71010279328,0.578540922593,4.00760854678,503,89.494047619,2071.44047619,53417,237,4148,283.323968901,75.7856985315,8.633328926810004,1.5397634905500002,6.67529617625,1085,113.76,3227.91272727,1,79,79,0,0,1,0,0,0,1,0
1017,2,345,1,863,104903,29141,3396,203.85554128400003,5.59253097636,0.10050335853499999,0.10050335853499999,0.10050335853499999,768,39.0206718346,1589.14470284,2931,3124,193,4.86919630047,0.578540922593,1.8617565752599998,0.604091150446,2.0957737552599998,14,78.4,1498.93333333,1,82,82,0,0,1,0,0,0,1,0
1022,1,347,2,596,94,332,3,0.503461869339,0.301982613937,0.10050335853499999,0.10050335853499999,0.10050335853499999,2,23.5,1901.5,875,444,48,1.90442057159,0.321056671521,1.09333392797,0.10050335853499999,0.846998744663,7,37.7142857143,895.0,0,83,83,0,0,1,0,0,0,1,0
1026,2,348,1,864,30726,29193,201,19.0630327426,2.28198124613,4.01874300265,0.10050335853499999,7.49149206401,81,29.5975609756,5075.85365854,11850,1266,441,87.7021362597,27.5676488748,6.04127286074,0.10050335853499999,5.56494525777,373,83.9308510638,1970.26861702,0,84,84,0,0,1,0,0,0,1,0
1051,1,350,2,305,352,187,12,0.297973176755,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,1,0.0,0.0,5737,691,249,1.70589713352,0.294043527372,0.34437519001,0.34437519001,0.34437519001,7,30.0,697.0,1,62,62,0,0,1,0,0,0,1,0
1064,6,354,2,869,34260,1005,3600,28.5208824117,5.92479218344,3.5329654593099997,0.34437519001,3.7672277675699997,110,176.82142857099998,2717.19642857,5438,2260,208,1.6211341132,0.34437519001,1.04701773537,0.33713195274400004,0.33713195274400004,7,73.4285714286,2614.57142857,0,20,20,0,0,1,0,0,0,1,0
1081,2,355,1,870,6154,1071,286,23.886097806,10.855851338399999,2.1644765001499997,1.14219847942,2.3529819248900004,106,110.89719626200001,2178.93457944,1323,669,50,0.608280084017,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,2,29.5,994.0,1,89,89,0,0,1,0,0,0,1,0
1124,2,358,2,502,420965,54,5196,452.75891352599996,60.1332345138,0.10050335853499999,0.10050335853499999,0.33713195274400004,1794,46.2778684067,2240.95867319,1241,669,80,4.61795787078,1.1527934497499999,1.0399425404,0.57139426101,0.803313946194,16,122.055555556,2031.05555556,1,50,50,0,0,1,0,0,0,1,0
