,B_interactions_count,B_unique_id,A_interactions_count,A_unique_id,A_follower_count,A_following_count,A_listed_count,A_mentions_received,A_retweets_received,A_mentions_sent,A_retweets_sent,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_follower_count,B_following_count,B_listed_count,B_mentions_received,B_retweets_received,B_mentions_sent,B_retweets_sent,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3,Choice,A_community,B_community,A_L_community,A_M_community,A_S_community,A_XS_community,B_L_community,B_M_community,B_S_community,B_XS_community
36,1,31,1,790,5039,1159,97,27.9277350494,13.886841586900001,3.27665695379,1.57896286586,4.73134230189,85,248.305882353,4350.31764706,424,884,6,0.268640569815,0.10050335853499999,0.595962080709,0.10050335853499999,0.860251686434,1,2.0,499.0,0,8,8,0,0,0,1,0,0,0,1
43,1,38,1,791,176,77,5,0.10050335853499999,0.10050335853499999,0.33713195274400004,0.10050335853499999,0.33713195274400004,0,0.0,0.0,1856,1533,87,0.966980568712,0.306073458935,0.35694329868,0.10050335853499999,0.608280084017,3,324.333333333,4209.66666667,0,9,9,0,0,0,1,0,0,0,1
79,1,69,1,792,657,501,59,0.5272723048319999,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,2,313.5,3283.5,1393,266,49,11.4793651371,2.5125562972999997,1.10856621164,0.35694329868,2.09417842615,46,64.1086956522,1198.43478261,1,10,10,0,0,0,1,0,0,0,1
83,1,72,1,793,22464,4513,2084,42.8500346553,6.387974020580001,9.114744633839999,0.601724864503,9.191786066339999,151,187.594771242,2415.8496732,255630,385,3913,68.974464744,32.9229057064,1.98645715626,0.10050335853499999,1.7521948479900002,303,52.2275641026,1634.25641026,0,11,11,0,0,0,1,0,0,0,1
87,1,75,1,794,70651,1529,3493,119.25211328299999,26.756355604899998,6.51534752447,2.07713156866,5.50262896386,485,333.796334012,11893.914460299999,12546,781,635,23.8953271754,9.018798513,1.8279323900400002,0.8471998293240001,2.29300380833,104,149.67619047600002,6654.81904762,1,12,12,0,0,0,1,0,0,0,1
96,1,81,1,795,486540,260467,6755,94.88661784620001,52.61319638729999,0.10050335853499999,0.10050335853499999,6.566150543890001,383,91.4871794872,2714.73589744,6028,91,756,20.249007480899998,4.03762595265,8.07749784925,2.1520228797,7.374875574289999,79,175.708860759,2820.96202532,1,14,14,0,0,0,1,0,0,0,1
116,1,95,1,796,207,95,5,0.10050335853499999,0.10050335853499999,0.35694329868,0.10050335853499999,0.35694329868,0,0.0,0.0,27710,3018,330,24.621050055999998,3.8451583137400003,1.14196192434,0.888086383595,1.14196192434,104,100.39047619,28149.476190499998,1,15,15,0,0,0,1,0,0,0,1
127,1,101,1,797,536,1985,4,0.306073458935,0.306073458935,0.10050335853499999,0.10050335853499999,0.875417753293,1,6.0,234.0,35632,1744,2332,94.0006044221,40.5256732433,3.76210655417,0.34437519001,3.7771835289499998,387,86.4358974359,2318.61794872,0,16,16,0,0,0,1,0,0,0,1
128,1,102,1,798,517,268,23,3.9602502209599995,0.279091522488,1.8037426166599997,0.359533601106,1.5549191991799998,17,95.6470588235,2144.05882353,49,210,1,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,0,0.0,0.0,1,17,17,0,0,0,1,0,0,0,1
150,1,117,1,799,3069,608,31,113.857624018,4.45796919629,4.27279994703,0.359533601106,3.5475877110100003,236,5.52100840336,819.722689076,2499,1279,136,4.07118822267,1.4910578497,0.593173725151,0.346838541843,4.8198744406900005,16,30.9375,629.3125,0,18,18,0,0,0,1,0,0,0,1
157,1,122,1,800,7625,6067,478,13.5843900232,4.10148178547,4.52755137719,0.10050335853499999,3.77350766507,51,132.433962264,4756.9245283,8391,453,302,2.4143953841799997,0.797991027607,0.564342728903,0.10050335853499999,0.583759829055,9,85.6666666667,2020.44444444,0,19,19,0,0,0,1,0,0,0,1
181,1,138,1,801,201,152,3,0.9082336312799999,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,3,25.3333333333,1320.66666667,5277,74,323,7.12158926633,1.19307121206,0.603202316762,0.10050335853499999,0.603202316762,30,112.566666667,2568.83333333,0,21,21,0,0,0,1,0,0,0,1
243,1,163,1,804,4036,4172,66,1.5587766019999998,0.481107718425,0.10050335853499999,0.10050335853499999,0.33713195274400004,7,18.2857142857,898.857142857,136,340,1,0.482027951575,0.297973176755,0.10050335853499999,0.10050335853499999,0.10050335853499999,2,14.5,378.5,1,24,24,0,0,0,1,0,0,0,1
257,1,170,1,806,3102,253,207,1.90399269512,0.486465543736,0.10050335853499999,0.10050335853499999,0.33713195274400004,7,100.0,2586.28571429,1414,329,142,2.27766160594,0.10050335853499999,0.10050335853499999,0.10050335853499999,1.09388366451,7,133.857142857,5020.0,0,25,25,0,0,0,1,0,0,0,1
327,1,194,1,808,1076,730,33,2.69646953574,0.802618618497,0.822903515812,0.10050335853499999,0.588641207545,10,21.3,622.0,1515,418,113,2.42174143074,0.295998478572,0.5737605469520001,0.10050335853499999,0.576150734772,11,57.181818181800004,866.1818181819998,0,27,27,0,0,0,1,0,0,0,1
389,1,214,1,813,2586,948,144,0.346838541843,0.346838541843,0.10050335853499999,0.10050335853499999,0.10050335853499999,1,5.0,195.0,21307,219,378,0.919840987733,0.452339900339,0.10050335853499999,0.10050335853499999,0.10050335853499999,4,4.75,616.25,0,31,31,0,0,0,1,0,0,0,1
393,1,216,1,814,399,320,35,0.10050335853499999,0.10050335853499999,0.339522140564,0.10050335853499999,0.8707709439910001,0,0.0,0.0,1116,35,67,4.35437944578,1.14106112224,0.10050335853499999,0.10050335853499999,0.10050335853499999,20,135.05,14763.4,0,32,32,0,0,0,1,0,0,0,1
404,1,219,1,815,1216,277,48,1.5788565355700002,0.10050335853499999,0.825269801754,0.10050335853499999,0.825269801754,6,23.5714285714,559.0,9013,1867,969,34.0173966938,11.965402747799999,10.9577054672,0.5883455580470001,9.63954254229,134,129.088235294,2108.63235294,1,33,33,0,0,0,1,0,0,0,1
409,1,223,1,817,683346,814,34915,646.3417460640001,319.620117101,3.7040883014699997,0.36479296425999996,5.12767010789,2380,55.0926464479,1363.71001246,7939,1437,243,5.214460057019999,0.705183728172,0.10050335853499999,0.10050335853499999,0.10050335853499999,20,54.571428571400006,1620.19047619,1,35,35,0,0,0,1,0,0,0,1
427,1,229,1,819,2070,1350,197,5.93381451931,0.5816833827269999,0.598778662411,0.10050335853499999,0.598778662411,19,175.684210526,3210.78947368,627,441,47,5.285903969980001,0.295998478572,2.47959715722,0.339522140564,1.29877266837,20,98.35,1981.6,0,37,37,0,0,0,1,0,0,0,1
549,1,256,1,822,2435,1129,130,1.20687837144,0.511567949115,0.10050335853499999,0.10050335853499999,0.10050335853499999,5,71.4,1080.8,496,417,48,2.01937175809,0.10050335853499999,1.6193651356999998,0.598376411841,1.3629251955500001,9,28.3333333333,385.555555556,1,42,42,0,0,0,1,0,0,0,1
558,1,260,1,823,2559,462,117,2.6324310461300002,0.294043527372,0.580955253724,0.10050335853499999,0.580955253724,10,63.9,1592.1,53620,44768,1873,8.4854184292,5.08836226346,0.10050335853499999,0.10050335853499999,10.5389203105,34,114.88235294100001,4822.55882353,1,43,43,0,0,0,1,0,0,0,1
562,1,261,1,824,611,644,20,3.97159452515,0.45767968644100004,1.59144959348,0.5861024521379999,0.5861024521379999,13,24.785714285700003,1027.42857143,832,1760,12,0.359533601106,0.10050335853499999,2.6794164344599998,0.61628597372,0.61628597372,1,0.0,6.0,1,44,44,0,0,0,1,0,0,0,1
572,1,264,1,825,40,67,0,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,0,0.0,0.0,1540,505,62,12.1895296729,0.740865602225,7.329437822619997,0.870003728257,7.5874821284200005,46,94.26086956520001,2223.80434783,0,45,45,0,0,0,1,0,0,0,1
573,1,265,1,826,13822,1418,722,244.36501061799999,111.680252572,16.4250830888,0.61628597372,18.741365003800002,824,62.4344163658,1437.71480144,10960,1159,312,8.016927063719999,1.94672744322,1.07693597971,0.341936471695,0.835502866547,26,104.96153846200001,3380.19230769,1,46,46,0,0,0,1,0,0,0,1
608,1,273,1,827,58963,107,966,122.146806107,62.115521118800004,13.1166908686,0.8547422179180001,17.3229769527,434,103.068807339,2108.80045872,3601,346,243,1.20635386481,0.97443417963,0.603176929208,0.35184014387100004,0.834706370192,5,306.0,4809.0,0,47,47,0,0,0,1,0,0,0,1
609,1,274,1,828,2260,609,72,4.85534136413,1.26113383377,0.847602079894,0.33713195274400004,1.84372182188,18,58.8421052632,1118.89473684,476,109,29,0.9558238956630001,0.519991370779,0.10050335853499999,0.10050335853499999,0.10050335853499999,4,150.0,1801.25,1,48,48,0,0,0,1,0,0,0,1
614,1,275,1,829,2929,449,113,1.16076380346,0.906888262716,0.583759829055,0.35184014387100004,0.583759829055,5,19.6,1070.8,189,251,7,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,0,0.0,0.0,1,49,49,0,0,0,1,0,0,0,1
656,1,284,1,832,657,382,25,24.29690931,0.10050335853499999,0.5882470214850001,0.10050335853499999,0.34437519001,106,17.1698113208,910.3773584910001,3842,229,165,69.0354142879,14.1544417828,15.4042797195,1.15525649238,16.0775800013,212,202.57603686599998,4319.70506912,0,52,52,0,0,0,1,0,0,0,1
683,1,287,1,833,3975013,346,38435,230.336221665,42.8993179717,0.869823178971,0.10050335853499999,0.35694329868,948,81.5327783559,8646.26222685,1409776,467,26110,102.48658571600001,38.2626066477,0.8455001202949999,0.10050335853499999,0.873440535968,433,89.8627002288,6313.50572082,0,54,54,0,0,0,1,0,0,0,1
704,1,290,1,835,532,819,28,0.792268328503,0.10050335853499999,0.359533601106,0.10050335853499999,0.359533601106,3,41.6666666667,962.666666667,171192,365,2045,19.6280846111,6.4838036839,1.65038553989,0.10050335853499999,1.6023771241,84,263.244186047,27399.476744200005,0,56,56,0,0,0,1,0,0,0,1
