,B_interactions_count,B_unique_id,A_interactions_count,A_unique_id,A_follower_count,A_following_count,A_listed_count,A_mentions_received,A_retweets_received,A_mentions_sent,A_retweets_sent,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_follower_count,B_following_count,B_listed_count,B_mentions_received,B_retweets_received,B_mentions_sent,B_retweets_sent,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3,Choice,A_community,B_community,A_L_community,A_M_community,A_S_community,A_XS_community,B_L_community,B_M_community,B_S_community,B_XS_community
0,34,0,40,190,228,302,3,0.583979387611,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.362150068203,2,166.5,11355.0,34463,29808,1689,15.4304976173,3.9840288048900003,8.204331198450001,0.332423043719,6.988814956789999,66,75.5303030303,1916.89393939,0,0,1,1,0,0,0,0,1,0,0
2,3,2,1,788,7310,1215,101,25.5036444818,9.55634744251,5.36151928351,0.591205606947,3.58971842047,95,68.9278350515,5999.89690722,3622,482,206,0.734695580988,0.354378899279,0.603202316762,0.10050335853499999,0.603202316762,3,10.3333333333,277.333333333,0,3,3,0,0,1,0,0,0,1,0
14,2,14,1,789,2088,419,148,4.25083325871,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,18,9.0,254.722222222,4511,4962,163,4.73717644628,1.23093918209,1.41410172158,0.36479296425999996,2.45605513484,17,20.444444444400002,937.388888889,1,6,6,0,0,1,0,0,0,1,0
20,1,18,5,344,352126,499,4428,476.925046137,201.19920615,6.7102808036,0.10050335853499999,7.97454850173,1881,54.199580932399996,4991.58983761,35420121,136440,243073,33169.806819,6627.82220971,0.10050335853499999,0.10050335853499999,0.10050335853499999,54819,17.6760845853,2006.1760494000002,0,7,7,0,1,0,0,0,1,0,0
28,39,23,39,245,57840,27137,5245,271.759860328,35.9558041591,13.0793877781,0.10050335853499999,12.6428812457,890,294.170731707,8733.9767184,158467,154157,1590,299.60787906,80.1902863889,0.10050335853499999,0.10050335853499999,0.10050335853499999,791,122.25280199299999,11514.8119552,1,1,1,0,1,0,0,0,1,0,0
34,41,29,33,65,5941,1615,278,39.5895711782,3.8664530784199993,1.51595307118,0.10050335853499999,1.28169076292,116,63.9915254237,2503.94915254,206818,15196,2513,15.210107996400001,4.31465898754,0.10050335853499999,0.10050335853499999,0.10050335853499999,69,321.18840579700003,17454.115942,0,1,4,0,1,0,0,1,0,0,0
36,1,31,1,790,5039,1159,97,27.9277350494,13.886841586900001,3.27665695379,1.57896286586,4.73134230189,85,248.305882353,4350.31764706,424,884,6,0.268640569815,0.10050335853499999,0.595962080709,0.10050335853499999,0.860251686434,1,2.0,499.0,0,8,8,0,0,0,1,0,0,0,1
43,1,38,1,791,176,77,5,0.10050335853499999,0.10050335853499999,0.33713195274400004,0.10050335853499999,0.33713195274400004,0,0.0,0.0,1856,1533,87,0.966980568712,0.306073458935,0.35694329868,0.10050335853499999,0.608280084017,3,324.333333333,4209.66666667,0,9,9,0,0,0,1,0,0,0,1
47,39,41,33,65,5941,1615,278,39.5895711782,3.8664530784199993,1.51595307118,0.10050335853499999,1.28169076292,116,63.9915254237,2503.94915254,671,215,17,0.354378899279,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,1,1.0,148.0,0,1,2,0,1,0,0,1,0,0,0
61,41,52,42,356,163145,906,4475,182.175568401,78.0432023746,11.607668041199998,3.5900197900300004,9.605154520680001,688,82.93865905850001,1809.65049929,220242,357,1062,452.547280711,140.0075344,13.439022061,3.04369326436,13.647982006600001,1796,13.6619178082,1375.80767123,0,5,1,1,0,0,0,0,1,0,0
62,34,53,34,167,16978,6715,451,0.332423043719,0.10050335853499999,0.10050335853499999,0.10050335853499999,3.34299851074,1,130.0,2874.0,3638,3341,85,2.7935772010699997,1.40270262958,2.5940892676900003,0.5981501935010001,3.80214341589,11,9.416666666669999,489.08333333300004,0,4,1,1,0,0,0,0,1,0,0
70,31,61,32,233,5922518,483,7594,65758.403536,32054.0555967,1.61241011026,0.10050335853499999,2.63160675438,187674,6.01569385268,1199.63681206,7147,737,112,2.3329897266799997,0.714556340145,0.862129980767,0.10050335853499999,1.35758870294,11,13.2727272727,520.1818181819999,1,1,2,0,1,0,0,1,0,0,0
74,33,65,44,136,580544,2799,7371,296.978205315,135.831428625,15.0330256841,4.80717981227,8.26206312673,1201,87.18377483440003,3547.78228477,5941,1615,278,39.5895711782,3.8664530784199993,1.51595307118,0.10050335853499999,1.28169076292,116,63.9915254237,2503.94915254,1,5,1,1,0,0,0,0,1,0,0
75,27,66,38,97,119001,119704,2266,63.6032615837,17.010681516,11.232851900899998,0.10050335853499999,6.62889672446,206,167.913043478,6161.917874399999,6225470,381,40506,16532.602259799998,9816.44753602,6.2923932449599995,4.340211535430003,11.886873089200002,61842,10.2978307226,1115.07743984,0,1,0,0,1,0,0,1,0,0,0
76,28,67,41,218,1354,375,22,12.8553419711,6.21419954429,3.22660050518,1.53788353919,3.25145647592,35,43.314285714300006,1991.17142857,48777,858,1236,247.238745401,74.1034922474,3.0316956547900005,1.81674611367,21.1756960799,997,32.902777777800004,1871.07142857,0,0,1,1,0,0,0,0,1,0,0
77,44,68,29,222,4189,2094,187,6.69736553572,1.4256784241299998,4.48360723968,1.33295457456,3.7735534147500003,29,79.2068965517,2846.79310345,3525,3115,131,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,0,0.0,0.0,1,2,1,1,0,0,0,0,1,0,0
79,1,69,1,792,657,501,59,0.5272723048319999,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.10050335853499999,2,313.5,3283.5,1393,266,49,11.4793651371,2.5125562972999997,1.10856621164,0.35694329868,2.09417842615,46,64.1086956522,1198.43478261,1,10,10,0,0,0,1,0,0,0,1
83,1,72,1,793,22464,4513,2084,42.8500346553,6.387974020580001,9.114744633839999,0.601724864503,9.191786066339999,151,187.594771242,2415.8496732,255630,385,3913,68.974464744,32.9229057064,1.98645715626,0.10050335853499999,1.7521948479900002,303,52.2275641026,1634.25641026,0,11,11,0,0,0,1,0,0,0,1
87,1,75,1,794,70651,1529,3493,119.25211328299999,26.756355604899998,6.51534752447,2.07713156866,5.50262896386,485,333.796334012,11893.914460299999,12546,781,635,23.8953271754,9.018798513,1.8279323900400002,0.8471998293240001,2.29300380833,104,149.67619047600002,6654.81904762,1,12,12,0,0,0,1,0,0,0,1
90,33,65,41,333,804394,1370,15143,6881.48299573,5013.64229512,22.683131263000003,2.38553797354,18.4209811988,23958,21.3249876868,1413.82539813,5941,1615,278,39.5895711782,3.8664530784199993,1.51595307118,0.10050335853499999,1.28169076292,116,63.9915254237,2503.94915254,1,5,1,1,0,0,0,0,1,0,0
