,B_interactions_count,B_unique_id,A_interactions_count,A_unique_id,A_follower_count,A_following_count,A_listed_count,A_mentions_received,A_retweets_received,A_mentions_sent,A_retweets_sent,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_follower_count,B_following_count,B_listed_count,B_mentions_received,B_retweets_received,B_mentions_sent,B_retweets_sent,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3,Choice
0,17,0,17,190,228,302,3,0.583979387611,0.10050335853499999,0.10050335853499999,0.10050335853499999,0.362150068203,2,166.5,11355.0,34463,29808,1689,15.4304976173,3.9840288048900003,8.204331198450001,0.332423043719,6.988814956789999,66,75.5303030303,1916.89393939,0
1,16,1,17,113,21591,1179,228,90.4565058494,25.7982917525,5.7093286482700005,1.11115882218,5.17662002447,369,18.4429708223,1330.36604775,39262,848,1610,40.4950207027,8.9436069153,3.22767690032,0.564342728903,1.07032070863,163,132.030674847,2931.51533742,0
2,2,2,1,788,7310,1215,101,25.5036444818,9.55634744251,5.36151928351,0.591205606947,3.58971842047,95,68.9278350515,5999.89690722,3622,482,206,0.734695580988,0.354378899279,0.603202316762,0.10050335853499999,0.603202316762,3,10.3333333333,277.333333333,0
3,22,3,19,99,20,7,2,7.690823731789999,0.277305640849,1.33150797971,0.10050335853499999,2.8306268013099998,6,2.0,96.1666666667,19562,17637,278,572.874855518,390.29368089999997,27.552040412800004,7.167556745589999,32.1019061639,1762,23.4692957746,1395.8456337999999,0
4,21,4,22,307,45589,862,2641,148.854279232,36.998883856,27.8817679309,3.3334918041900004,23.8612817152,551,127.404293381,2833.84794275,7554,1711,181,21.6018659681,3.58166112737,6.764657042610001,1.11972669857,4.5632463243300005,85,48.5,1993.62790698,1
5,27,5,22,280,285735,276251,3417,19.327581508599998,7.29201558065,0.10050335853499999,0.10050335853499999,0.10050335853499999,60,44.8064516129,4144.25806452,11147,1500,474,40.5925124122,5.92300880671,19.6480644548,1.86176520715,12.261029213599999,128,107.431818182,2481.13636364,0
6,18,6,22,280,285735,276251,3417,19.327581508599998,7.29201558065,0.10050335853499999,0.10050335853499999,0.10050335853499999,60,44.8064516129,4144.25806452,185616,1001,15117,266.01387391599997,54.3452304246,13.111903749300001,0.334765666801,13.6651725665,928,172.98622881400001,5321.64618644,0
7,22,7,12,54,9512,12,213,52.1670684554,23.182288427800003,0.362150068203,0.10050335853499999,6.80604525921,195,11.6785714286,564.040816327,8120,710,959,7.3686429024399995,2.08837479699,1.59879785994,0.5958120124390001,1.33284944416,29,205.533333333,4302.46666667,1
8,16,8,18,58,2273871,4524,11946,6782.40533805,2944.52424508,12.9557232877,2.79186097666,66.2062083002,21678,6.8593643121,1113.2020155999999,298668,551,6209,493.256379358,206.66055217099998,4.115212281040001,0.8545391020980001,3.07546280949,2021,75.9700980392,3865.44656863,1
9,15,9,20,123,182598,1402,3831,145.844909693,74.002957632,23.5491892963,0.10050335853499999,15.9532425551,567,276.496515679,8038.06620209,117913,1299,9950,189.755229794,67.3102230393,11.2948306946,2.56726916744,10.9337661034,791,185.542032622,5535.93977415,0
10,21,10,15,195,3200,3256,146,0.290192078012,0.10050335853499999,0.362150068203,0.10050335853499999,0.362150068203,1,0.0,11.0,322682,37601,22232,176.53371591599998,42.3302213798,6.849227228689999,1.3450733981,4.35986544828,696,234.338068182,7168.46448864,0
11,20,11,12,200,3914,1439,165,2.4042122036,1.16194602972,0.10050335853499999,0.10050335853499999,0.10050335853499999,9,18.7777777778,899.0,85138,67047,5103,150.340456123,68.1173657547,5.48034897405,0.10050335853499999,71.8792737542,568,205.883275261,9580.39547038,0
12,17,12,25,179,23230,495,826,118.052431863,56.6682926506,6.37320537301,0.8407197446539999,9.82700494448,466,105.21063829799999,3589.00425532,750,997,29,2.2924645126299996,0.312365990981,5.135357861,2.0324587395099996,4.4231557936,11,192.363636364,3855.72727273,1
13,24,13,17,286,4321482,259,32741,7068.5940808,3773.24875881,2.10199402263,0.339522140564,10.2165316735,25313,11.303280613800002,1404.1953492,224146,272,6190,56.7252801893,11.8540570388,0.10050335853499999,0.10050335853499999,5.782978754299999,211,54.9252336449,7211.6635514,0
