,B_interactions_count,B_unique_id,A_interactions_count,A_unique_id,A_follower_count,A_following_count,A_listed_count,A_mentions_received,A_retweets_received,A_mentions_sent,A_retweets_sent,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_follower_count,B_following_count,B_listed_count,B_mentions_received,B_retweets_received,B_mentions_sent,B_retweets_sent,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3,Choice,A_community,B_community,A_L_community,A_M_community,A_S_community,A_XS_community,B_L_community,B_M_community,B_S_community,B_XS_community
0,34,0,40,190,228,302,3,0.583979387611,0.100503358535,0.100503358535,0.100503358535,0.362150068203,2,166.5,11355.0,34463,29808,1689,15.4304976173,3.98402880489,8.204331198450001,0.332423043719,6.988814956789999,66,75.5303030303,1916.89393939,0,0,1,1,0,0,0,0,1,0,0
1,33,1,39,113,21591,1179,228,90.4565058494,25.7982917525,5.7093286482700005,1.11115882218,5.17662002447,369,18.4429708223,1330.36604775,39262,848,1610,40.4950207027,8.9436069153,3.22767690032,0.564342728903,1.07032070863,163,132.030674847,2931.51533742,0,2,2,1,0,0,0,1,0,0,0
2,3,2,1,788,7310,1215,101,25.5036444818,9.55634744251,5.36151928351,0.591205606947,3.58971842047,95,68.9278350515,5999.89690722,3622,482,206,0.734695580988,0.354378899279,0.603202316762,0.100503358535,0.603202316762,3,10.3333333333,277.333333333,0,3,3,0,0,1,0,0,0,1,0
3,39,3,38,99,20,7,2,7.690823731789999,0.277305640849,1.33150797971,0.100503358535,2.83062680131,6,2.0,96.1666666667,19562,17637,278,572.874855518,390.2936809,27.552040412800004,7.167556745589999,32.1019061639,1762,23.4692957746,1395.8456338,0,4,4,1,0,0,0,1,0,0,0
4,37,4,42,307,45589,862,2641,148.854279232,36.998883856,27.8817679309,3.3334918041900004,23.8612817152,551,127.404293381,2833.84794275,7554,1711,181,21.6018659681,3.58166112737,6.7646570426100014,1.11972669857,4.5632463243300005,85,48.5,1993.62790698,1,4,4,1,0,0,0,1,0,0,0
5,42,5,39,280,285735,276251,3417,19.327581508599998,7.29201558065,0.100503358535,0.100503358535,0.100503358535,60,44.8064516129,4144.25806452,11147,1500,474,40.5925124122,5.92300880671,19.6480644548,1.86176520715,12.261029213599999,128,107.431818182,2481.13636364,0,0,5,1,0,0,0,1,0,0,0
6,30,6,39,280,285735,276251,3417,19.327581508599998,7.29201558065,0.100503358535,0.100503358535,0.100503358535,60,44.8064516129,4144.25806452,185616,1001,15117,266.01387391599997,54.3452304246,13.111903749300001,0.334765666801,13.6651725665,928,172.98622881400001,5321.64618644,0,0,4,1,0,0,0,1,0,0,0
7,37,7,32,54,9512,12,213,52.1670684554,23.182288427800003,0.362150068203,0.100503358535,6.80604525921,195,11.6785714286,564.040816327,8120,710,959,7.368642902439999,2.08837479699,1.59879785994,0.5958120124390001,1.33284944416,29,205.533333333,4302.46666667,1,0,0,1,0,0,0,1,0,0,0
8,32,8,43,58,2273871,4524,11946,6782.40533805,2944.52424508,12.9557232877,2.79186097666,66.2062083002,21678,6.8593643121,1113.2020156,298668,551,6209,493.256379358,206.66055217099998,4.115212281040002,0.8545391020980001,3.07546280949,2021,75.9700980392,3865.44656863,1,5,0,1,0,0,0,1,0,0,0
9,33,9,44,123,182598,1402,3831,145.844909693,74.002957632,23.5491892963,0.100503358535,15.9532425551,567,276.496515679,8038.06620209,117913,1299,9950,189.755229794,67.3102230393,11.2948306946,2.56726916744,10.9337661034,791,185.542032622,5535.93977415,0,4,4,1,0,0,0,1,0,0,0
10,36,10,30,195,3200,3256,146,0.290192078012,0.100503358535,0.362150068203,0.100503358535,0.362150068203,1,0.0,11.0,322682,37601,22232,176.53371591599998,42.3302213798,6.849227228689999,1.3450733981,4.35986544828,696,234.338068182,7168.46448864,0,0,2,1,0,0,0,1,0,0,0
11,31,11,29,200,3914,1439,165,2.4042122036,1.16194602972,0.100503358535,0.100503358535,0.100503358535,9,18.7777777778,899.0,85138,67047,5103,150.340456123,68.1173657547,5.48034897405,0.100503358535,71.8792737542,568,205.883275261,9580.39547038,0,5,2,1,0,0,0,1,0,0,0
12,29,12,43,179,23230,495,826,118.052431863,56.6682926506,6.37320537301,0.8407197446539999,9.82700494448,466,105.21063829799999,3589.00425532,750,997,29,2.29246451263,0.312365990981,5.135357861,2.03245873951,4.4231557936,11,192.363636364,3855.72727273,1,0,0,1,0,0,0,1,0,0,0
13,47,13,32,286,4321482,259,32741,7068.5940808,3773.24875881,2.10199402263,0.339522140564,10.2165316735,25313,11.303280613800002,1404.1953492,224146,272,6190,56.7252801893,11.8540570388,0.100503358535,0.100503358535,5.782978754299999,211,54.9252336449,7211.6635514,0,4,4,1,0,0,0,1,0,0,0
14,2,14,1,789,2088,419,148,4.25083325871,0.100503358535,0.100503358535,0.100503358535,0.100503358535,18,9.0,254.722222222,4511,4962,163,4.73717644628,1.23093918209,1.41410172158,0.36479296426,2.45605513484,17,20.444444444400002,937.388888889,1,6,6,0,0,1,0,0,0,1,0
15,29,12,37,49,48711,22845,932,61.9248042388,18.5789010899,0.100503358535,0.100503358535,0.100503358535,229,80.3433476395,4431.68240343,750,997,29,2.29246451263,0.312365990981,5.135357861,2.03245873951,4.4231557936,11,192.363636364,3855.72727273,1,5,0,1,0,0,0,1,0,0,0
16,34,15,41,118,4760,425,96,5.0119622628,1.40789589748,0.100503358535,0.100503358535,0.100503358535,22,3.0,277.59090909099996,3166413,276,603,1253.34542879,980.12092647,12.9634252305,2.38001807762,100.537796661,4801,7.9061738424,1694.6988221,0,0,2,1,0,0,0,1,0,0,0
17,47,13,48,55,15385,673,747,55.9935458813,22.3219449455,6.94623325492,0.341936471695,6.50397747795,202,152.495098039,3286.61764706,224146,272,6190,56.7252801893,11.8540570388,0.100503358535,0.100503358535,5.782978754299999,211,54.9252336449,7211.6635514,0,5,4,1,0,0,0,1,0,0,0
18,35,16,38,327,265258,209,551,631.915946309,457.648549848,5.46098548773,0.100503358535,7.498126498239999,2603,3.8263138278,506.69213566900004,219,148,8,0.758307370817,0.100503358535,0.100503358535,0.100503358535,0.100503358535,3,205.0,3922.66666667,1,2,2,1,0,0,0,1,0,0,0
